,channel_names,clusters
0,_practicum_tech_leads,7
1,aventferryandgorman,1
2,blue,6
3,brewery_tour,3
4,cameronvillage,3
5,camping,3
6,canesgames,3
7,chancetherapper,7
8,commproject,7
9,communication_project,5
10,cycling,10
11,dankmemes,2
12,escape_room,3
13,foodies,4
14,football_games,1
15,general,7
16,golf,9
17,google-analytics-cert,7
18,google-analytics-iq-c,10
19,gymclasses,11
20,homeworkblue3,5
21,homeworkteam2,5
22,hoops,9
23,imflagfootball,1
24,junto,8
25,latindance,4
26,linearalgebra,0
27,logisticregression,0
28,lostandfound,6
29,mountainbiking,3
30,new_channel_channel,8
31,oliver,10
32,orange,6
33,orientation,7
34,playingcards,9
35,pokemongo,7
36,practicum_blue_4,5
37,practicum_team,5
38,python,7
39,r,0
40,random,7
41,recreation,1
42,runninggroup,7
43,sascoding,0
44,sausageparty,7
45,social,4
46,sponsors,5
47,tennis,9
48,thank_you_committee,11
49,the_family_channel,8
50,thesingles,5
51,timeseries,0
52,westcoast,1
53,yoga,11
